Howard S. Adelman, UCLA, Psychology, UCLA
Robert Asarnow, UCLA, Psychology, Wayne State University
Bruce Baker, UCLA, Psychology, Yale University
Carrie Bearden, UCLA, Psychology, University of Pennsylvania
Robert M. Bilder, UCLA, Psychology, City College
James Bisley, UCLA, Psychology, University of Melbourne in Australia
Elizabeth Ligon Bjork, UCLA, Psychology, University of Michigan
Jan Blacher, UCLA, Psychology, University of North Carolina at Chapel Hill
Aaron P. Blaisdell, UCLA, Psychology, SUNY Binghamton
Susan Bookheimer, UCLA, Psychology, Wayne State University School of Medicine
Julienne Bower, UCLA, Psychology, UCLA
Li Cai, UCLA, Psychology, University of North Carolina - Chapel Hill
Alan Castel, UCLA, Psychology, University of Toronto (2004)
Denise A. Chavira, UCLA, Psychology, San Diego Sate University/University of California San Diego Joint Doctoral Program in Clinical Psychology
Patricia Cheng, UCLA, Psychology, University of Michigan
Bruce Chorpita, UCLA, Psychology, University at Albany
Mark S. Cohen, UCLA, Psychology, The Rockefeller University
Barry E. Collins, UCLA, Psychology, Ph.D. Northwestern University
Naomi Eisenberger, UCLA, Psychology, UCLA
Craig Fox, UCLA, Psychology, Stanford University
Andrew J. Fuligni, UCLA, Psychology, University of Michigan
Adriana Galván, UCLA, Psychology, Neuroscience at Weill Medical College of Cornell University
R. Edward Geiselman, UCLA, Psychology, (Ohio University); MS (Ohio University); BS (Purdue University)
Phillip Atiba Goff, UCLA, Psychology, Stanford University
Noah Goldstein, UCLA, Psychology, Arizona State University
Elisheva Gross, UCLA, Psychology, University of California
Martie Haselton, UCLA, Psychology, University of Texas at Austin
Yuen J. Huo, UCLA, Psychology, University of California
Alicia Izquierdo, UCLA, Psychology, The George Washington University
J. David Jentsch, UCLA, Psychology, Yale University (Neurobiology)
Scott Johnson, UCLA, Psychology, Arizona State University
Benjamin Karney, UCLA, Psychology, University of California
Danielle Keenan-Miller, UCLA, Psychology, University of California
Barbara Knowlton, UCLA, Psychology, Stanford University
Jennifer L. Krull, UCLA, Psychology, Arizona State University
Steve S. Lee, UCLA, Psychology, University of California
Matthew Lieberman, UCLA, Psychology, Harvard University
Zili Liu, UCLA, Psychology, Brown University
Hongjing Lu, UCLA, Psychology, UCLA
Albert Mehrabian, UCLA, Psychology, Clark University
Gregory A. Miller, UCLA, Psychology, University of Wisconsin-Madison
Thomas R. Minor, UCLA, Psychology, Ph.D. State University of New York at Stony Brook
Martin M. Monti, UCLA, Psychology, Princeton University Ph.D. (2007)
Letitia Anne Peplau, UCLA, Psychology, Harvard University
Lara Ray, UCLA, Psychology, University of Colorado at Boulder
Steven Paul Reise, UCLA, Psychology, University of Minnesota
Jesse Rissman, UCLA, Psychology, University of California
Theodore Robles, UCLA, Psychology, The Ohio State University
David O. Sears, UCLA, Psychology, Yale University
Jenessa Shapiro, UCLA, Psychology, Arizona State University
James W. Stigler, UCLA, Psychology, University of Michigan
A. Janet Tomiyama, UCLA, Psychology, UCLA
Nim Tottenham, UCLA, Psychology, University of Minnesota: Developmental Psychology &amp; Neuroscience
Kate Wassum, UCLA, Psychology, UCLA
Bernard Weiner, UCLA, Psychology, University of Michigan
